Column1,Air temperature _K_,Process temperature _K_,Rotational speed _rpm_,Torque _Nm_,Tool wear _min_,Type_H,Type_L,Type_M,Machine failure_RF
0,-0.952389443,-0.947359888,0.06818514,0.282199756,-1.695983744,FALSE,FALSE,TRUE,0
1,-0.90239341,-0.879959002,-0.729471505,0.63330802,-1.648851701,FALSE,TRUE,FALSE,0
2,-0.952389443,-1.014760773,-0.22744984,0.944289625,-1.617430338,FALSE,TRUE,FALSE,0
3,-0.90239341,-0.947359888,-0.590021043,-0.048845179,-1.586008976,FALSE,TRUE,FALSE,0
4,-0.90239341,-0.879959002,-0.729471505,0.001313145,-1.554587614,FALSE,TRUE,FALSE,0
5,-0.952389443,-0.947359888,-0.634645191,0.191914774,-1.523166251,FALSE,FALSE,TRUE,0
6,-0.952389443,-0.947359888,0.10723127,0.242073097,-1.476034208,FALSE,TRUE,FALSE,0
7,-0.952389443,-0.947359888,-0.065687304,0.021376474,-1.444612845,FALSE,TRUE,FALSE,0
8,-0.852397376,-0.879959002,0.715235286,-1.142296629,-1.413191483,FALSE,FALSE,TRUE,0
9,-0.752405309,-0.677756345,1.128008655,-1.202486617,-1.366059439,FALSE,FALSE,TRUE,0
10,-0.802401343,-0.745157231,1.356707414,-1.613784869,-1.318927396,TRUE,FALSE,FALSE,0
11,-0.702409275,-0.61035546,-0.645801228,0.432674726,-1.24037399,TRUE,FALSE,FALSE,0
12,-0.702409275,-0.61035546,-1.114354782,1.114827925,-1.161820584,FALSE,FALSE,TRUE,0
13,-0.702409275,-0.542954574,1.133586674,-1.001853323,-1.114688541,FALSE,FALSE,TRUE,0
14,-0.702409275,-0.542954574,2.767946094,-2.04514645,-1.067556497,FALSE,TRUE,FALSE,0
15,-0.702409275,-0.542954574,0.017982974,0.843972978,-1.036135135,FALSE,TRUE,FALSE,0
16,-0.702409275,-0.542954574,-1.2705393,0.663403014,-1.004713772,FALSE,FALSE,TRUE,0
17,-0.652413242,-0.542954574,-0.718315468,0.563086367,-0.957581729,FALSE,FALSE,TRUE,0
18,-0.602417208,-0.542954574,-1.298429392,1.455904524,-0.910449685,TRUE,FALSE,FALSE,0
19,-0.552421174,-0.475553688,0.520004639,-0.751061706,-0.831896279,FALSE,FALSE,TRUE,0
20,-0.552421174,-0.475553688,-0.913546116,0.272168091,-0.784764236,TRUE,FALSE,FALSE,0
21,-0.602417208,-0.475553688,-0.495194728,0.48283305,-0.70621083,FALSE,TRUE,FALSE,0
22,-0.552421174,-0.475553688,0.235525695,-0.931631671,-0.674789467,FALSE,FALSE,TRUE,0
23,-0.502425141,-0.408152803,1.22283497,-1.433214905,-0.627657424,FALSE,TRUE,FALSE,0
24,-0.502425141,-0.408152803,0.123965325,-0.269541802,-0.596236062,FALSE,FALSE,TRUE,0
25,-0.502425141,-0.340751917,1.797370875,-1.673974857,-0.549104018,FALSE,TRUE,FALSE,0
26,-0.452429107,-0.340751917,-0.149357581,-0.099003502,-0.517682656,FALSE,TRUE,FALSE,0
27,-0.452429107,-0.408152803,1.51846995,-1.543563216,-0.486261293,TRUE,FALSE,FALSE,0
28,-0.452429107,-0.408152803,-0.556552932,0.422643062,-0.407707887,FALSE,TRUE,FALSE,0
29,-0.502425141,-0.408152803,0.860263767,-0.991821659,-0.376286525,FALSE,TRUE,FALSE,0
30,-0.452429107,-0.340751917,-1.114354782,0.823909649,-0.344865163,FALSE,FALSE,TRUE,0
